n,k,comparisons,swaps
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,150,1534,403
600,300,2062,825
600,300,2062,825
600,300,2062,825
600,300,2062,825
600,300,2062,825
600,300,2062,825
600,300,2062,825
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,300,1764,1046
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1669,920
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,450,1859,964
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1190,591
600,600,1011,586
600,600,1011,586
600,600,1011,586
600,600,1011,586
600,600,1011,586
600,600,1011,586
600,600,1011,586
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,1,1252,535
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1487,751
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,175,1261,480
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
700,350,2626,1205
